통화명,전일대비,date,ttb,tts,deal_bas_r,bkpr,kftc_bkpr,kftc_deal_bas_r,cur_nm
KWD,+15.78,2023-05-22,"4,289.99","4,376.66","4,333.33","4,333","4,333","4,333.33",쿠웨이트 디나르
BHD,+11.14,2023-05-22,"3,495.44","3,566.05","3,530.75","3,530","3,530","3,530.75",바레인 디나르
AED,+1.11,2023-05-22,358.88,366.13,362.51,362,362,362.51,아랍에미리트 디르함
THB,+0.22,2023-05-22,38.4,39.17,38.79,38,38,38.79,태국 바트
SGD,+4.84,2023-05-22,980.16,999.97,990.07,990,990,990.07,싱가포르 달러
IDR,-0.02,2023-05-22,8.83,9,8.92,8,8,8.92,인도네시아 루피아
MYR,+1.79,2023-05-22,290.37,296.24,293.31,293,293,293.31,말레이지아 링기트
BND,+5.47,2023-05-22,980.16,999.97,990.07,990,990,990.07,브루나이 달러
USD,+3.10,2023-05-23,"1,305.9","1,332.29","1,319.1","1,319","1,319","1,319.1",미국 달러
JPY,+2.34,2023-05-23,942.38,961.41,951.9,951,951,951.9,일본 옌
EUR,+3.28,2023-05-23,"1,411.74","1,440.27","1,426.01","1,426","1,426","1,426.01",유로
HKD,+0.37,2023-05-23,166.81,170.18,168.5,168,168,168.5,홍콩 달러
GBP,+4.32,2023-05-23,"1,623.96","1,656.77","1,640.37","1,640","1,640","1,640.37",영국 파운드
CHF,+3.29,2023-05-23,"1,454.24","1,483.61","1,468.93","1,468","1,468","1,468.93",스위스 프랑
CAD,+2.15,2023-05-23,966.83,986.36,976.6,976,976,976.6,캐나다 달러
AUD,+2.26,2023-05-23,868.36,885.91,877.14,877,877,877.14,호주 달러
NZD,+3.66,2023-05-23,820.89,837.48,829.19,829,829,829.19,뉴질랜드 달러
SEK,-0.15,2023-05-23,123.63,126.12,124.88,124,124,124.88,스웨덴 크로나
DKK,+0.66,2023-05-23,189.57,193.4,191.49,191,191,191.49,덴마아크 크로네
NOK,+0.24,2023-05-23,119.76,122.17,120.97,120,120,120.97,노르웨이 크로네
